skill_name,source_path,integrated_file,characters,source_encoding,status
academic-email-writer-en,embedded-source/academic-email-writer-en/SKILL.md,academic-email-writer-en.md,1462,utf-8-sig,integrated
academic-humanizer,embedded-source/academic-humanizer/SKILL.md,academic-humanizer.md,16795,utf-8-sig,integrated
ai-peer-reviewer,embedded-source/ai-peer-reviewer/SKILL.md,ai-peer-reviewer.md,1066,utf-8-sig,integrated
bachert-academic-polish,embedded-source/bachert-academic-polish/SKILL.md,bachert-academic-polish.md,10528,utf-8-sig,integrated
bilingual-academic-writer,embedded-source/bilingual-academic-writer/SKILL.md,bilingual-academic-writer.md,2216,utf-8-sig,integrated
ch-advanced-search,embedded-source/ch-advanced-search/SKILL.md,ch-advanced-search.md,3133,utf-8-sig,integrated
ch-download,embedded-source/ch-download/SKILL.md,ch-download.md,4094,utf-8-sig,integrated
ch-export,embedded-source/ch-export/SKILL.md,ch-export.md,6942,utf-8-sig,integrated
ch-navigate-pages,embedded-source/ch-navigate-pages/SKILL.md,ch-navigate-pages.md,2233,utf-8-sig,integrated
ch-paper-detail,embedded-source/ch-paper-detail/SKILL.md,ch-paper-detail.md,6648,utf-8-sig,integrated
ch-parse-results,embedded-source/ch-parse-results/SKILL.md,ch-parse-results.md,3390,utf-8-sig,integrated
ch-search,embedded-source/ch-search/SKILL.md,ch-search.md,1347,utf-8-sig,integrated
citing-papers-intelligence,embedded-source/citing-papers-intelligence/SKILL.md,citing-papers-intelligence.md,3008,utf-8-sig,integrated
critical-care-review-master,embedded-source/critical-care-review-master/SKILL.md,critical-care-review-master.md,8833,utf-8-sig,integrated
data-to-discovery-agent,embedded-source/data-to-discovery-agent/SKILL.md,data-to-discovery-agent.md,5447,utf-8-sig,integrated
embase-check-login,embedded-source/embase-check-login/SKILL.md,embase-check-login.md,1013,utf-8-sig,integrated
embase-login,embedded-source/embase-login/SKILL.md,embase-login.md,622,utf-8-sig,integrated
embase-session,embedded-source/embase-session/SKILL.md,embase-session.md,1803,utf-8-sig,integrated
embase-web-search,embedded-source/embase-web-search/SKILL.md,embase-web-search.md,2359,utf-8-sig,integrated
