"function_name"	"category"	"help_topic"	"argument"	"required"	"default"	"standard_value"	"standard_rule"	"description"
"%=%"	"utility"	""	"a"	TRUE	""	"NULL"	"Required but not inferable from metadata alone; confirm before execution."	""
"%=%"	"utility"	""	"b"	TRUE	""	"NULL"	"Required but not inferable from metadata alone; confirm before execution."	""
"add_day"	"utility"	"add_day"	"x"	TRUE	""	"NULL"	"Required but not inferable from metadata alone; confirm before execution."	"x"
"add_day"	"utility"	"add_day"	"p"	FALSE	"1"	"1"	"Preserve the package default."	"time"
"add_hour"	"utility"	"add_hour"	"x"	TRUE	""	"NULL"	"Required but not inferable from metadata alone; confirm before execution."	"x"
"add_hour"	"utility"	"add_hour"	"p"	FALSE	"1"	"1"	"Preserve the package default."	"time"
"add_minute"	"utility"	"add_minute"	"x"	TRUE	""	"NULL"	"Required but not inferable from metadata alone; confirm before execution."	"x"
"add_minute"	"utility"	"add_minute"	"p"	FALSE	"1"	"1"	"Preserve the package default."	"time"
"add_month"	"utility"	"add_month"	"x"	TRUE	""	"NULL"	"Required but not inferable from metadata alone; confirm before execution."	"x"
"add_month"	"utility"	"add_month"	"p"	FALSE	"1"	"1"	"Preserve the package default."	"time"
"add_row_number"	"utility"	"add_row_number"	"data"	TRUE	""	"cohort_dat"	"Use the standard data object name for this stage."	"data"
"add_row_number"	"utility"	"add_row_number"	"colname"	FALSE	"\"rn\""	"\"rn\""	"Preserve the package default."	"column names for row number"
"add_row_number"	"utility"	"add_row_number"	"group"	FALSE	"NULL"	"NULL"	"Preserve the package default."	"one or more group colnames"
"add_row_number"	"utility"	"add_row_number"	"order"	FALSE	"NULL"	"NULL"	"Preserve the package default."	"one or more order colnames, if desc add - before name"
"add_row_number"	"utility"	"add_row_number"	"desc_RN"	FALSE	"FALSE"	"FALSE"	"Preserve the package default."	"logical. increase for rn is default."
"add_second"	"utility"	"add_second"	"x"	TRUE	""	"NULL"	"Required but not inferable from metadata alone; confirm before execution."	"x"
"add_second"	"utility"	"add_second"	"p"	FALSE	"1"	"1"	"Preserve the package default."	"time"
"add_variable"	"utility"	"add_variable"	"fit"	TRUE	""	"model1"	"Use the first fitted model object by default."	"模型"
"add_variable"	"utility"	"add_variable"	"x"	TRUE	""	"NULL"	"Required but not inferable from metadata alone; confirm before execution."	""
"add_variable"	"utility"	"add_variable"	"vars"	FALSE	"NULL"	"NULL"	"Preserve the package default."	""
