"function_name"	"object_type"	"category"	"help_topic"	"title"	"usage"	"description"	"standard_call"
"%=%"	"function"	"utility"	""	""	"%=%(...)"	""	"%=%(a = NULL, b = NULL)"
"add_day"	"function"	"utility"	"add_day"	"修改时间"	"add_day(x, p = 1)"	"修改时间"	"add_day(x = NULL, p = 1)"
"add_hour"	"function"	"utility"	"add_hour"	"修改时间"	"add_hour(x, p = 1)"	"修改时间"	"add_hour(x = NULL, p = 1)"
"add_minute"	"function"	"utility"	"add_minute"	"修改时间"	"add_minute(x, p = 1)"	"修改时间"	"add_minute(x = NULL, p = 1)"
"add_month"	"function"	"utility"	"add_month"	"修改时间"	"add_month(x, p = 1)"	"修改时间"	"add_month(x = NULL, p = 1)"
"add_row_number"	"function"	"utility"	"add_row_number"	"add row number"	"add_row_number( data, colname = \"rn\", group = NULL, order = NULL, desc_RN = FALSE )"	"add row number"	"add_row_number(data = cohort_dat, colname = \"rn\", group = NULL, order = NULL, desc_RN = FALSE)"
"add_second"	"function"	"utility"	"add_second"	"修改时间"	"add_second(x, p = 1)"	"修改时间"	"add_second(x = NULL, p = 1)"
"add_variable"	"function"	"utility"	"add_variable"	"向模型中追加变量"	"add_variable(fit, x, vars = NULL, data = NULL)"	"向模型中追加变量"	"add_variable(fit = model1, x = NULL, vars = NULL, data = NULL)"
"add_week"	"function"	"utility"	"add_week"	"修改时间"	"add_week(x, p = 1)"	"修改时间"	"add_week(x = NULL, p = 1)"
"add_year"	"function"	"utility"	"add_year"	"修改时间"	"add_year(x, p = 1)"	"修改时间"	"add_year(x = NULL, p = 1)"
"arrange2"	"function"	"utility"	"arrange2"	"arrange and check dup"	"arrange2(x, ..., warn = T)"	"arrange and check dup"	"arrange2(x = NULL, warn = T)"
"character2numeric"	"function"	"utility"	"character2numeric"	"convert character to integer"	"character2numeric(x)"	"convert character to integer"	"character2numeric(x = NULL)"
"col.counts"	"function"	"utility"	"col.counts"	"col count"	"col.counts(data)"	"col count"	"col.counts(data = cohort_dat)"
"col.max"	"function"	"utility"	"col.max"	"max value in col"	"col.max(data)"	"max value in col"	"col.max(data = cohort_dat)"
"col.means"	"function"	"utility"	"col.means"	"col mean"	"col.means(data, na.rm = TRUE)"	"col mean"	"col.means(data = cohort_dat, na.rm = TRUE)"
"col.sums"	"function"	"utility"	"col.sums"	"col sum"	"col.sums(data, na.rm = TRUE)"	"col sum"	"col.sums(data = cohort_dat, na.rm = TRUE)"
"config_path"	"function"	"setup_discovery"	"config_path"	"config path for mimic database"	"config_path(path)"	"config path for mimic database"	"config_path(path = normalizePath(Sys.getenv(\"MIMIC_DB_ROOT\", unset = \"E:/MIMIC/mimic-iv-3.0\"), winslash = \"/\", mustWork = FALSE))"
"crude.Model.n"	"function"	"plot_model"	"crude.Model.n"	"crude model, model 1, model 2"	"crude.Model.n( ..., bys = NULL, round = 2, xlsx = NULL, character2integer = TRUE, quadratic = FALSE )"	"crude model, model 1, model 2"	"crude.Model.n(bys = NULL, round = 2, xlsx = NULL, character2integer = TRUE, quadratic = FALSE)"
