"function_name"	"title"	"usage"	"description"
"%=%"	"exact match"	"a %=% b"	"exact match"
"add_col"	"add new column for dataframe"	"add_col(data, colname = NULL, value = NULL, condition = NULL, position = NULL)"	"add new column for dataframe"
"add_col.data.frame"	""	"add_col.data.frame(...)"	""
"add_col.survey.design"	""	"add_col.survey.design(...)"	""
"add_color_to_text"	""	"add_color_to_text(...)"	""
"add_masc"	""	"add_masc(...)"	""
"add_style"	""	"add_style(...)"	""
"add_variable"	""	"add_variable(...)"	""
"ageAdjust"	"age adjust prevalence"	"ageAdjust(   design,   agecat = NULL,   population = NULL,   disease = NULL,   mean_var = NULL,   by = NULL,   subset = NULL )"	"age adjust prevalence"
"aggregate_max"	"aggregate max"	"aggregate_max(data, x, by, na.rm = T)"	"aggregate max"
"aggregate_mean"	"aggregate mean"	"aggregate_mean(data, x, by, na.rm = T)"	"aggregate mean"
"aggregate_min"	"aggregate min"	"aggregate_min(data, x, by, na.rm = T)"	"aggregate min"
"aggregate_sum"	"aggregate sum"	"aggregate_sum(data, x, by, na.rm = T)"	"aggregate sum"
"aggregate2"	""	"aggregate2(...)"	""
"append<-"	"append"	"append(x) <- value"	"append"
"attach_file"	""	"attach_file(...)"	""
"attach_read"	""	"attach_read(...)"	""
"BA.i"	""	"BA.i(...)"	""
"bind_col"	"bind columns"	"bind_col(df)"	"bind columns"
"bold_change"	""	"bold_change(...)"	""
"browse_rxq_Drug"	"Browse rxq_Drug"	"browse_rxq_Drug()"	"Browse rxq_Drug"
"browse_rxq_Rx"	"Browse rxq_Rx"	"browse_rxq_Rx(years)"	"Browse rxq_Rx"
"browser.fndds"	"browser fndds"	"browser.fndds()"	"browser fndds"
"browser.fped"	"browser fped"	"browser.fped()"	"browser fped"
"browser.survey"	"browser survey"	"browser.survey()"	"browser survey"
"bu"	"build new variable"	"bu(x, rule)"	"build new variable"
"bu_above.equal"	"build new variable"	"bu_above.equal(x, n)"	"build new variable"
"bu_lower.equal"	"build new variable"	"bu_lower.equal(x, n)"	"build new variable"
"build_codebook"	"Build codebook file"	"build_codebook(progress = T)"	"Build codebook file"
"build_drug_data"	""	"build_drug_data(...)"	""
"build_drug_search_data"	""	"build_drug_search_data(...)"	""
"build_html"	""	"build_html(...)"	""
"build_varLabel"	"Build variable label file"	"build_varLabel(progress = TRUE)"	"Build variable label file"
"census_2000.age20.40.60plus"	""	"census_2000.age20.40.60plus(...)"	""
"census_2000.age20plus"	""	"census_2000.age20plus(...)"	""
"census_2000.age6plus"	""	"census_2000.age6plus(...)"	""
"census_2000.All.ages"	"census 2000"	"census_2000.All.ages()"	"census 2000"
"census_2010.age20.40.60plus"	""	"census_2010.age20.40.60plus(...)"	""
"census_2010.age20plus"	""	"census_2010.age20plus(...)"	""
"census_2010.age6plus"	""	"census_2010.age6plus(...)"	""
"census_2010.All.ages"	"census 2010"	"census_2010.All.ages()"	"census 2010"
"census_range"	"Title"	"census_range(..., sum = FALSE)"	"Title"
"census_range.2010"	"Title"	"census_range.2010(..., sum = FALSE)"	"Title"
"character2numeric"	"convert character to integer"	"character2numeric(x)"	"convert character to integer"
"check1"	"check variable with only one"	"check1(x)"	"check variable with only one"
"ci.no.by"	""	"ci.no.by(...)"	""
"ci_by"	""	"ci_by(...)"	""
"codebook_url"	""	"codebook_url(...)"	""
"coffee.1day"	""	"coffee.1day(...)"	""
"coffee.food.code"	""	"coffee.food.code(...)"	""
"col.counts"	"col count"	"col.counts(data)"	"col count"
"col.max"	"max value in col"	"col.max(data)"	"max value in col"
"col.means"	"col mean"	"col.means(data, na.rm = TRUE)"	"col mean"
"col.sums"	"col sum"	"col.sums(data, na.rm = TRUE)"	"col sum"
"col_rename"	"rename colname names"	"col_rename(data, ...)"	"rename colname names"
